weather,hour,date
mist,13,2012-10-01
sky is clear,14,2012-10-01
sky is clear,15,2012-10-01
sky is clear,16,2012-10-01
sky is clear,17,2012-10-01
sky is clear,18,2012-10-01
sky is clear,19,2012-10-01
sky is clear,20,2012-10-01
sky is clear,21,2012-10-01
sky is clear,22,2012-10-01
sky is clear,23,2012-10-01
sky is clear,00,2012-10-02
sky is clear,01,2012-10-02
sky is clear,02,2012-10-02
sky is clear,03,2012-10-02
sky is clear,04,2012-10-02
sky is clear,05,2012-10-02
sky is clear,06,2012-10-02
sky is clear,07,2012-10-02
sky is clear,08,2012-10-02
sky is clear,09,2012-10-02
sky is clear,10,2012-10-02
sky is clear,11,2012-10-02
sky is clear,12,2012-10-02
sky is clear,13,2012-10-02
mist,14,2012-10-02
fog,15,2012-10-02
sky is clear,16,2012-10-02
sky is clear,17,2012-10-02
sky is clear,18,2012-10-02
sky is clear,19,2012-10-02
sky is clear,20,2012-10-02
sky is clear,21,2012-10-02
sky is clear,22,2012-10-02
sky is clear,23,2012-10-02
sky is clear,00,2012-10-03
sky is clear,01,2012-10-03
sky is clear,02,2012-10-03
sky is clear,03,2012-10-03
sky is clear,04,2012-10-03
sky is clear,05,2012-10-03
sky is clear,06,2012-10-03
sky is clear,07,2012-10-03
sky is clear,08,2012-10-03
sky is clear,09,2012-10-03
sky is clear,10,2012-10-03
sky is clear,11,2012-10-03
sky is clear,12,2012-10-03
sky is clear,13,2012-10-03
fog,14,2012-10-03
sky is clear,15,2012-10-03
sky is clear,16,2012-10-03
sky is clear,17,2012-10-03
sky is clear,18,2012-10-03
sky is clear,19,2012-10-03
sky is clear,20,2012-10-03
sky is clear,21,2012-10-03
sky is clear,22,2012-10-03
sky is clear,23,2012-10-03
sky is clear,00,2012-10-04
sky is clear,01,2012-10-04
sky is clear,02,2012-10-04
sky is clear,03,2012-10-04
sky is clear,04,2012-10-04
sky is clear,05,2012-10-04
sky is clear,06,2012-10-04
sky is clear,07,2012-10-04
sky is clear,08,2012-10-04
sky is clear,09,2012-10-04
fog,10,2012-10-04
mist,11,2012-10-04
fog,12,2012-10-04
mist,13,2012-10-04
mist,14,2012-10-04
fog,15,2012-10-04
haze,16,2012-10-04
mist,17,2012-10-04
mist,18,2012-10-04
haze,19,2012-10-04
haze,20,2012-10-04
haze,21,2012-10-04
haze,22,2012-10-04
haze,23,2012-10-04
haze,00,2012-10-05
sky is clear,01,2012-10-05
sky is clear,02,2012-10-05
few clouds,03,2012-10-05
few clouds,04,2012-10-05
overcast clouds,05,2012-10-05
scattered clouds,06,2012-10-05
scattered clouds,07,2012-10-05
sky is clear,08,2012-10-05
broken clouds,09,2012-10-05
broken clouds,10,2012-10-05
overcast clouds,11,2012-10-05
mist,12,2012-10-05
mist,13,2012-10-05
mist,14,2012-10-05
haze,15,2012-10-05
haze,16,2012-10-05
haze,17,2012-10-05
sky is clear,18,2012-10-05
sky is clear,19,2012-10-05
sky is clear,20,2012-10-05
sky is clear,21,2012-10-05
sky is clear,22,2012-10-05
sky is clear,23,2012-10-05
sky is clear,00,2012-10-06
sky is clear,01,2012-10-06
sky is clear,02,2012-10-06
sky is clear,03,2012-10-06
sky is clear,04,2012-10-06
sky is clear,05,2012-10-06
sky is clear,06,2012-10-06
sky is clear,07,2012-10-06
few clouds,08,2012-10-06
scattered clouds,09,2012-10-06
few clouds,10,2012-10-06
broken clouds,11,2012-10-06
sky is clear,12,2012-10-06
overcast clouds,13,2012-10-06
sky is clear,14,2012-10-06
mist,15,2012-10-06
mist,16,2012-10-06
mist,17,2012-10-06
mist,18,2012-10-06
haze,19,2012-10-06
mist,20,2012-10-06
sky is clear,21,2012-10-06
sky is clear,22,2012-10-06
sky is clear,23,2012-10-06
sky is clear,00,2012-10-07
sky is clear,01,2012-10-07
sky is clear,02,2012-10-07
sky is clear,03,2012-10-07
sky is clear,04,2012-10-07
sky is clear,05,2012-10-07
sky is clear,06,2012-10-07
sky is clear,07,2012-10-07
sky is clear,08,2012-10-07
sky is clear,09,2012-10-07
sky is clear,10,2012-10-07
sky is clear,11,2012-10-07
mist,12,2012-10-07
few clouds,13,2012-10-07
fog,14,2012-10-07
mist,15,2012-10-07
mist,16,2012-10-07
haze,17,2012-10-07
sky is clear,18,2012-10-07
sky is clear,19,2012-10-07
sky is clear,20,2012-10-07
sky is clear,21,2012-10-07
sky is clear,22,2012-10-07
sky is clear,23,2012-10-07
sky is clear,00,2012-10-08
sky is clear,01,2012-10-08
sky is clear,02,2012-10-08
sky is clear,03,2012-10-08
sky is clear,04,2012-10-08
sky is clear,05,2012-10-08
sky is clear,06,2012-10-08
sky is clear,07,2012-10-08
sky is clear,08,2012-10-08
sky is clear,09,2012-10-08
sky is clear,10,2012-10-08
few clouds,11,2012-10-08
sky is clear,12,2012-10-08
sky is clear,13,2012-10-08
sky is clear,14,2012-10-08
sky is clear,15,2012-10-08
sky is clear,16,2012-10-08
scattered clouds,17,2012-10-08
sky is clear,18,2012-10-08
sky is clear,19,2012-10-08
sky is clear,20,2012-10-08
sky is clear,21,2012-10-08
sky is clear,22,2012-10-08
sky is clear,23,2012-10-08
sky is clear,00,2012-10-09
sky is clear,01,2012-10-09
sky is clear,02,2012-10-09
sky is clear,03,2012-10-09
sky is clear,04,2012-10-09
sky is clear,05,2012-10-09
sky is clear,06,2012-10-09
sky is clear,07,2012-10-09
sky is clear,08,2012-10-09
sky is clear,09,2012-10-09
sky is clear,10,2012-10-09
sky is clear,11,2012-10-09
sky is clear,12,2012-10-09
sky is clear,13,2012-10-09
haze,14,2012-10-09
mist,15,2012-10-09
mist,16,2012-10-09
haze,17,2012-10-09
sky is clear,18,2012-10-09
sky is clear,19,2012-10-09
scattered clouds,20,2012-10-09
sky is clear,21,2012-10-09
sky is clear,22,2012-10-09
sky is clear,23,2012-10-09
sky is clear,00,2012-10-10
sky is clear,01,2012-10-10
sky is clear,02,2012-10-10
sky is clear,03,2012-10-10
sky is clear,04,2012-10-10
sky is clear,05,2012-10-10
sky is clear,06,2012-10-10
sky is clear,07,2012-10-10
sky is clear,08,2012-10-10
sky is clear,09,2012-10-10
sky is clear,10,2012-10-10
sky is clear,11,2012-10-10
sky is clear,12,2012-10-10
sky is clear,13,2012-10-10
overcast clouds,14,2012-10-10
sky is clear,15,2012-10-10
overcast clouds,16,2012-10-10
few clouds,17,2012-10-10
haze,18,2012-10-10
broken clouds,19,2012-10-10
scattered clouds,20,2012-10-10
few clouds,21,2012-10-10
sky is clear,22,2012-10-10
sky is clear,23,2012-10-10
sky is clear,00,2012-10-11
sky is clear,01,2012-10-11
sky is clear,02,2012-10-11
sky is clear,03,2012-10-11
sky is clear,04,2012-10-11
sky is clear,05,2012-10-11
sky is clear,06,2012-10-11
sky is clear,07,2012-10-11
sky is clear,08,2012-10-11
sky is clear,09,2012-10-11
broken clouds,10,2012-10-11
scattered clouds,11,2012-10-11
scattered clouds,12,2012-10-11
broken clouds,13,2012-10-11
overcast clouds,14,2012-10-11
scattered clouds,15,2012-10-11
scattered clouds,16,2012-10-11
few clouds,17,2012-10-11
sky is clear,18,2012-10-11
sky is clear,19,2012-10-11
sky is clear,20,2012-10-11
haze,21,2012-10-11
scattered clouds,22,2012-10-11
sky is clear,23,2012-10-11
sky is clear,00,2012-10-12
sky is clear,01,2012-10-12
sky is clear,02,2012-10-12
few clouds,03,2012-10-12
few clouds,04,2012-10-12
sky is clear,05,2012-10-12
few clouds,06,2012-10-12
broken clouds,07,2012-10-12
sky is clear,08,2012-10-12
sky is clear,09,2012-10-12
sky is clear,10,2012-10-12
sky is clear,11,2012-10-12
light rain,12,2012-10-12
light rain,13,2012-10-12
thunderstorm with rain,14,2012-10-12
moderate rain,15,2012-10-12
light rain,16,2012-10-12
sky is clear,17,2012-10-12
sky is clear,18,2012-10-12
sky is clear,19,2012-10-12
thunderstorm,20,2012-10-12
light rain,21,2012-10-12
scattered clouds,22,2012-10-12
shower rain,23,2012-10-12
broken clouds,00,2012-10-13
broken clouds,01,2012-10-13
broken clouds,02,2012-10-13
broken clouds,03,2012-10-13
sky is clear,04,2012-10-13
sky is clear,05,2012-10-13
sky is clear,06,2012-10-13
scattered clouds,07,2012-10-13
scattered clouds,08,2012-10-13
few clouds,09,2012-10-13
sky is clear,10,2012-10-13
haze,11,2012-10-13
few clouds,12,2012-10-13
scattered clouds,13,2012-10-13
fog,14,2012-10-13
scattered clouds,15,2012-10-13
broken clouds,16,2012-10-13
overcast clouds,17,2012-10-13
light rain,18,2012-10-13
few clouds,19,2012-10-13
broken clouds,20,2012-10-13
few clouds,21,2012-10-13
sky is clear,22,2012-10-13
sky is clear,23,2012-10-13
overcast clouds,00,2012-10-14
broken clouds,01,2012-10-14
few clouds,02,2012-10-14
sky is clear,03,2012-10-14
sky is clear,04,2012-10-14
sky is clear,05,2012-10-14
sky is clear,06,2012-10-14
sky is clear,07,2012-10-14
sky is clear,08,2012-10-14
sky is clear,09,2012-10-14
sky is clear,10,2012-10-14
sky is clear,11,2012-10-14
sky is clear,12,2012-10-14
sky is clear,13,2012-10-14
sky is clear,14,2012-10-14
sky is clear,15,2012-10-14
sky is clear,16,2012-10-14
sky is clear,17,2012-10-14
sky is clear,18,2012-10-14
sky is clear,19,2012-10-14
sky is clear,20,2012-10-14
sky is clear,21,2012-10-14
sky is clear,22,2012-10-14
sky is clear,23,2012-10-14
sky is clear,00,2012-10-15
sky is clear,01,2012-10-15
sky is clear,02,2012-10-15
sky is clear,03,2012-10-15
sky is clear,04,2012-10-15
sky is clear,05,2012-10-15
sky is clear,06,2012-10-15
sky is clear,07,2012-10-15
sky is clear,08,2012-10-15
sky is clear,09,2012-10-15
sky is clear,10,2012-10-15
sky is clear,11,2012-10-15
sky is clear,12,2012-10-15
sky is clear,13,2012-10-15
sky is clear,14,2012-10-15
sky is clear,15,2012-10-15
sky is clear,16,2012-10-15
sky is clear,17,2012-10-15
sky is clear,18,2012-10-15
sky is clear,19,2012-10-15
sky is clear,20,2012-10-15
sky is clear,21,2012-10-15
sky is clear,22,2012-10-15
sky is clear,23,2012-10-15
sky is clear,00,2012-10-16
sky is clear,01,2012-10-16
sky is clear,02,2012-10-16
sky is clear,03,2012-10-16
sky is clear,04,2012-10-16
sky is clear,05,2012-10-16
sky is clear,06,2012-10-16
sky is clear,07,2012-10-16
sky is clear,08,2012-10-16
sky is clear,09,2012-10-16
sky is clear,10,2012-10-16
sky is clear,11,2012-10-16
sky is clear,12,2012-10-16
sky is clear,13,2012-10-16
sky is clear,14,2012-10-16
